,lahmanID,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,bbrefID
638,639,barnevi01,,,1897.0,3.0,5.0,USA,KS,Ontario,1958.0,7.0,24.0,USA,KS,Wichita,Virgil,Barnes,,Virgil Jennings,Zeke,165.0,72.0,R,R,9/25/1919,9/15/1928,,barnevi01,barnevi01,barnv101,barnevi01,barnevi01
639,640,barneed01,,,1890.0,1.0,23.0,USA,WI,Amery,1967.0,10.0,4.0,USA,WI,Rice Lake,Ed,Barney,,Edmund J.,,178.0,70.0,L,R,7/22/1915,7/2/1916,,barneed01,barneed01,barne104,barneed01,barneed01
640,641,barnere02,,,1924.0,12.0,19.0,USA,NE,Omaha,1997.0,8.0,12.0,USA,MD,Baltimore,Rex,Barney,,Rex Edward,,185.0,75.0,R,R,8/18/1943,9/4/1950,,barnere02,barnere02,barnr103,barnere02,barnere02
641,642,barnhcl01,,,1895.0,12.0,29.0,USA,PA,Buck Valley,1980.0,1.0,21.0,USA,MD,Hagerstown,Clyde,Barnhart,,Clyde Lee,Pooch,155.0,70.0,R,R,9/22/1920,8/23/1928,,barnhcl01,barnhcl01,barnc102,barnhcl01,barnhcl01
642,643,barnhed01,,,1904.0,9.0,16.0,USA,MO,Providence,1984.0,9.0,14.0,USA,MO,Columbia,Edgar,Barnhart,,Edgar Vernon,,160.0,70.0,L,R,9/23/1924,9/23/1924,,barnhed01,barnhed01,barne103,barnhed01,barnhed01
643,644,barnhle01,,,1905.0,2.0,23.0,USA,KS,Hoxie,1971.0,10.0,7.0,USA,AZ,Scottsdale,Les,Barnhart,,Leslie Earl,Barney,180.0,72.0,R,R,9/22/1928,9/27/1930,,barnhle01,barnhle01,barnl101,barnhle01,barnhle01
644,645,barnhvi01,,,1922.0,9.0,1.0,USA,MD,Hagerstown,,,,,,,Vic,Barnhart,,Victor Dee,,188.0,72.0,R,R,10/1/1944,4/21/1946,,barnhvi01,barnhvi01,barnv102,barnhvi01,barnhvi01
645,646,barnige01,,,1917.0,8.0,26.0,USA,MA,Fitchburg,1990.0,10.0,10.0,USA,FL,Largo,George,Barnicle,,George Bernard,Barney,175.0,74.0,R,R,9/6/1939,4/19/1941,,barnige01,barnige01,barng101,barnige01,barnige01
646,647,barnibi01,barnibi01m,,1853.0,1.0,26.0,USA,NY,New York,1900.0,7.0,15.0,USA,CT,Hartford,Billy,Barnie,,William Harrison,Bald Billy,157.0,67.0,,,5/7/1874,6/28/1886,,barnibi01,barnibi01,barnb101,barnibi01,barnibi01
647,648,barnoed01,,,1943.0,8.0,23.0,USA,PA,Scranton,,,,,,,Ed,Barnowski,,Edward Anthony,,195.0,74.0,R,R,9/8/1965,9/16/1966,,barnoed01,barnoed01,barne102,barnoed01,barnoed01
